,numac,lum,atm,col,com,dep,catr,infra,voie,v1,v2,pr,pr1,prof,plan,ttue,tbg,tbl,tindm,libellevoie,grav,gps,lat,long,adr,insee,Commune,Codepos,Departement,INSEE
1100,178.0,1.0,1.0,2.0,142.0,10.0,1.0,0.0,42.0,,,0018,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,0.43,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1101,229.0,3.0,1.0,7.0,142.0,10.0,1.0,0.0,42.0,,,0017,600.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.43,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1102,400.0,3.0,1.0,4.0,142.0,10.0,1.0,0.0,42.0,,,18,200.0,1.0,1.0,0.0,0.0,1.0,2.0,,0.43,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1103,599.0,3.0,1.0,4.0,142.0,10.0,1.0,0.0,42.0,,A,16,300.0,1.0,1.0,0.0,0.0,1.0,2.0,,0.43,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1104,209329.0,2.0,1.0,2.0,142.0,10.0,1.0,0.0,42.0,,A,0017,100.0,1.0,1.0,0.0,0.0,2.0,1.0,,0.86,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1105,209417.0,1.0,1.0,3.0,142.0,10.0,1.0,0.0,42.0,,,0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,,0.86,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1106,209478.0,1.0,1.0,3.0,142.0,10.0,3.0,0.0,22.0,,,0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,,0.86,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1107,209479.0,5.0,1.0,5.0,142.0,10.0,1.0,0.0,42.0,,,17,700.0,1.0,1.0,0.0,0.0,2.0,2.0,,0.86,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1108,244919.0,1.0,1.0,3.0,142.0,10.0,1.0,0.0,5.0,,A,104,600.0,1.0,3.0,0.0,0.0,3.0,4.0,,1.29,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1109,253803.0,1.0,2.0,6.0,142.0,10.0,1.0,0.0,42.0,,,0018,0.0,1.0,1.0,0.0,0.0,5.0,3.0,,2.15,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1110,255146.0,1.0,1.0,3.0,142.0,10.0,3.0,5.0,1084.0,,,0000,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,10.8,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1111,255172.0,1.0,1.0,3.0,142.0,10.0,1.0,0.0,42.0,,,0018,0.0,1.0,1.0,0.0,1.0,0.0,2.0,,10.8,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1112,255326.0,1.0,1.0,2.0,142.0,10.0,1.0,0.0,42.0,,,0000,0.0,0.0,1.0,0.0,1.0,0.0,2.0,,10.8,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1113,255419.0,3.0,1.0,2.0,142.0,10.0,1.0,0.0,42.0,,A,0000,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,10.8,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1114,255860.0,1.0,1.0,1.0,142.0,10.0,3.0,0.0,1084.0,,,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,10.8,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1115,264140.0,1.0,1.0,6.0,142.0,10.0,3.0,0.0,660.0,,,20,620.0,0.0,0.0,0.0,1.0,0.0,0.0,,10.8,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1116,384031.0,5.0,1.0,7.0,142.0,10.0,3.0,0.0,1084.0,,,0000,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,11.23,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1117,405309.0,3.0,2.0,3.0,142.0,10.0,3.0,0.0,23.0,,,24,820.0,1.0,3.0,0.0,1.0,3.0,2.0,,12.09,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1118,406964.0,1.0,1.0,3.0,142.0,10.0,3.0,5.0,22.0,,,0000,0.0,2.0,1.0,0.0,2.0,0.0,1.0,,21.6,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1119,424691.0,1.0,1.0,3.0,142.0,10.0,3.0,0.0,660.0,,,0000,0.0,1.0,1.0,0.0,3.0,0.0,1.0,,32.4,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
1120,430626.0,3.0,1.0,6.0,142.0,10.0,3.0,0.0,660.0,,,0019,350.0,0.0,2.0,1.0,0.0,0.0,0.0,,100.0,,48.26603,3.809154, ,10142.0,ESTISSAC,10190,AUBE,10142.0
